name,cat1
CID_14505-2-Furyl methyl ketone,0
b_6-FP,1
b_CID_3806-5-Hydroxy-1-4-naphthoquinone,1
b_5-OH-Diclofenac,1
b_CID_667490-Mercaptopurine,1
CID_2662-Celecoxib,0
b_CID_10637-1-2-Naphthoquinone-4-sulfonic acid,1
b_CID_4055-Menadione,1
CID_2022-Acyclovir,0
CID_3059-Diflunisal,0
CID_9447-5-Chlorosalicylic acid,0
b_DA-6-FP,1
CID_464205-Tenofovir,0
CID_227-Anthranilic-acid,0
CID_3715-Indomethacin,0
CID_159772-4-Guanidinobenzoic acid hydrochloride,0
CID_3698-Amrinone,0
CID_5280863-Kaempferol,0
CID_54676228-Piroxicam,0
CID_54677971-Tenoxicam,0
b_CID_5281605-Baicalein,1
CID_5280373-Biochanin A,0
CID_2723601-2-Amino-6-mercaptopurine,0
b_CID_2333-Benzbromarone,1
b_2-AC-6-FP,1
CID_2265-Azathioprine,0
CID_3332-4-Biphenylacetic-acid,0
CID_2471-Bumetanide,0
CID_5090-Rofecoxib,0
CID_3840-Kojic-acid,0
CID_5161-Salsalate,0
CID_3342-Fenoprofen,0
CID_6292-Methaqualone,0
CID_5281894-7-Hydroxyflavone,0
b_2-OH-1-naphthoquinone,1
b_CID_5280443-Apigenin,1
CID_2720-Chlorothiazide,0
CID_6307-Quinethazone,0
CID_8406-2-Carboxybenzaldehyde,0
CID_5429-Theobromine,0
CID_3869-Labetalol,0
CID_77553-3-Acetylcoumarin,0
CID_5802-5-Bromouracil,0
CID_3366-Flucytosine,0
CID_3394-Flurbiprofen,0
b_5-OP-RU,1
CID_4756-Phenazopyridine,0
CID_6082-Methoxamine,0
b_CID_50942-Doxofylline,1
b_CID_2722-Chloroxine,1
CID_1-4-Benzodioxan-6-carboxaldehyde,0
b_CID_5281616-Galangin,1
b_CID_5790-Floxuridine,1
b_CID_3033-Diclofenac,1
b_CID_5280961-Genistein,1
CID_4421-Nalidixic-acid,0
CID_4831-Pipemidic-acid,0
b_CID_5280445-Luteolin,1
CID_54677470-Meloxicam,0
CID_323-Coumarin,0
b_CID_122903-Dehydroacetic-acid,1
CID_5560-Trichlormethiazide,0
CID_3828-Khellin,0
CID_3826-Ketorolac,0
b_Tetrahydroxy-1-4-quinone-hydrate,1
CID_3371-Flufenamic-acid,0
CID_60825-Lamivudine,0
CID_54676038-Dicumarol,0
CID_5578-Trimethoprim,0
b_CID_4044-Mefenamic-acid,1
b_RL-6-Me-7-OH,1
CID_4114-Methoxsalen,0
CID_4993-Pyrimethamine,0
b_CID_8530-1-4-Naphthoquinone,1
b_CID_69226-5-Formylsalicylic acid,1
CID_3182-Dyphylline,0
CID_4075-5-Aminosalicylic-acid,0
CID_1047-2-Pyrazinecarboxylic-acid,0
CID_3308-Etodolac,0
CID_9444-Azacitidine,0
b_5-OE-RU,1
CID_6-Chloro-4-hydroxy-coumarine,0
b_CID_8536-Menadione sodium bisulfite,1
CID_5546-Triamterene,0
b_CID_69117-3-Formylsalicylic acid,1
CID_7420-m-Hydroxybenzoic-acid,0
CID_2015-Acridone,0
CID_6041-Phenylephrine,0
CID_38081-Flunixin,0
